ID_time,DayofMonth,DayofWeek,DateMonth,DateYear
1,2003-07-01T00:00:00,tuesday        ,7-2003,2003
2,2003-07-02T00:00:00,wednesday      ,7-2003,2003
3,2003-07-03T00:00:00,thursday       ,7-2003,2003
4,2003-07-04T00:00:00,friday         ,7-2003,2003
5,2003-07-05T00:00:00,saturday       ,7-2003,2003
6,2003-08-01T00:00:00,friday         ,8-2003,2003
7,2003-08-02T00:00:00,saturday       ,8-2003,2003
8,2003-08-03T00:00:00,sunday         ,8-2003,2003
9,2003-08-04T00:00:00,monday         ,8-2003,2003
10,2003-08-05T00:00:00,tuesday        ,8-2003,2003
11,2003-10-01T00:00:00,wednesday      ,10-2003,2003
12,2003-10-02T00:00:00,thursday       ,10-2003,2003
13,2003-10-03T00:00:00,friday         ,10-2003,2003
14,2003-10-04T00:00:00,saturday       ,10-2003,2003
15,2003-10-05T00:00:00,sunday         ,10-2003,2003
16,2004-07-01T00:00:00,thursday       ,7-2004,2004
17,2004-07-02T00:00:00,friday         ,7-2004,2004
18,2004-07-03T00:00:00,saturday       ,7-2004,2004
19,2004-07-04T00:00:00,sunday         ,7-2004,2004
20,2004-07-05T00:00:00,monday         ,7-2004,2004
21,2004-08-01T00:00:00,sunday         ,8-2004,2004
22,2004-08-02T00:00:00,monday         ,8-2004,2004
23,2004-08-03T00:00:00,tuesday        ,8-2004,2004
24,2004-08-04T00:00:00,wednesday      ,8-2004,2004
25,2004-08-05T00:00:00,thursday       ,8-2004,2004
26,2004-10-01T00:00:00,friday         ,10-2004,2004
27,2004-10-02T00:00:00,saturday       ,10-2004,2004
28,2004-10-03T00:00:00,sunday         ,10-2004,2004
29,2004-10-04T00:00:00,monday         ,10-2004,2004
30,2004-10-05T00:00:00,tuesday        ,10-2004,2004
